Date,Company,Category,Aircraft,Location,Description
5/5/2015,"HAZON Solutions, LLC",Insurance,"DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Penguin V2,  Fire Fly 6",Virginia,"Crisis response support, including search and rescue, damage assessment, insurance claims assessment, and enhancing disaster site situational awareness for first responders."
4/27/2015,"HAZON Solutions, LLC",Utilities/Energy/Infrastructure,"DJI Phantom II, DJI S1000+, and DraganFlyer X4−ES",Virginia,Aerial infrastructure inspections will reduce risk to life and property by decreasing the requirement for personnel to climb structures and/or operate manned aircraft.
5/26/2015,Helicam Helicopters,Photo/Film,Draganfly Innovations X6,Washington,Aerial photography and videography for Washington state companies.
5/13/2015,Helicopters West LLC,Photo/Film,"DJI Inspire 1, SkyJib 8",Arizona,Aerial photography for the television and film industry.
2/3/2015,"Helinet Aviation Services, LLC",Photo/Film,"Gryphon Dynamics X8, DJI S1000",California,"Aerial filming, motion picture and television. (Amended 4/29/15)"
4/21/2015,HeliTek NW,"Photo/Film, Real Estate",DJI Inspire 1,Oregon,"Aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the metro Portland area. Augmented real estate listing videos, construction tracking photos and TV commercial videos."
9/25/2014,HeliVideo Productions,Photo/Film,"HVP- 14301 MultiRotor, Rotorcraft Model ERX12",Texas,Closed-set filming. (Amended 4/29/15)
6/30/2015,Hensrud Aerial,"Real Estate, Construction, Photo/Film, Emergency Services","DJI Inspire 1, DJI Phantom 3, DJI Spreading Wings, 3DRobotics Solo, 3DRobotics Aero, 3DRobotics IRIS+, 3DRobotics X8",North Dakota,"Aerial photography and/or video for real estate, architecture, land surveying, engineering, television, public events, cinematography, news gathering, inspections, live video feed for search and rescue operations, and UAS training."
5/5/2015,"High Adventure Air, Inc.","Agriculture, Construction, Emergency Services",DJI Inspire 1,Michigan,"Aerial acquisitions, research, and inspections, videography, gathering of agricultural data, natural resources, conservation, construction, infrastructure management and inspections, monitoring assessments, search and rescue operations, and reconnaissance in support of disaster or emergency situations."
5/5/2015,High Flight Photo,"Real Estate, Education","DJI Phantom 2 Vision+, DJI Inspire 1",Washington,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listing videos.
6/17/2015,"Holder Construction Group, LLC",Construction,DJI Phantom 3,Georgia,Aerial imaging and monitoring of construction jobsites.
6/30/2015,HOVERCAMS LLC,Photo/Film,DJI Inspire 1,Michigan,Aerial video and photography of selected marketed real estate in order to safely provide interested parties additional information about a selected property here-to-for unattainable before purchase
4/16/2015,Hovershotsapv LLC,Photo/Film,Steadydrone QU4D,Florida,Aerial photography for the media and advertising industries.
4/3/2015,"HUVRData, LLC","Utilities/Energy/Infrastructure, Agriculture",AscTec (Ascending Technologies) Falcon 8,Texas,"Aerial imaging for wind farm survey, solar farm survey, inspection of industrial infrastructure including electrical towers, flare stacks and pipelines, and precision agriculture."
6/16/2015,HYSight Technologies,"Utilities/Energy/Infrastructure, Photo/Film, Agriculture","DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1",Ohio,"Public safety support; inspection, monitoring, and patrolling; filmmaking, cinematography, and videography; precision agriculture; and surveying."
5/28/2015,I Drone Your Home,Real Estate,DJI Phantom 2,California,Aerial videography for realtors and private homeowners.
5/14/2015,"iBusiness Technologies, LLC","Real Estate, Construction",DJI Inspire 1,Pennsylvania,"Aerial acquisitions in support of the real estate industry, land survey industry, and construction industry."
4/8/2015,Idaho Forest Group,Other-Logging,Skycatch,Idaho,Aerial imaging in mill operations. Aerial imaging for safety and monitoring of secured and controlled environment mill sites.
6/23/2015,Idaho Power Company,"Scientific Studies, Conservation",MikroKopter sUAS,Idaho,"Low altitude environmental research and resource monitoring, including monitoring of salmon spawning activity in the Snake River."
5/22/2015,"iFly Media Productions, LLC",Photo/Film,DJI S900,Wisconsin,Aerial videography and photography.
5/14/2015,Ikust LLC,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Texas,Aerial videography and cinematography including real estate listing pictures and videos.
3/24/2015,"Industrial Aerobotics, LLC","Utilities/Energy/Infrastructure, Agriculture",Industrial Aerobotics SD02,Arizona,Precision aerial surveys.
6/23/2015,"InTEC of San Antonio, LP",Construction,"DJI Phantom Vision 2, DJI Phantom 3",Texas,Inspections and aerial surveys of construction sites.
5/11/2015,"Integrated Media Technologies, Inc",Photo/Film,"DJI S1000+, DJI Inspire 1, xFold Cinema.",California,Aerial photography and filming in motion picture and television operations.
6/16/2015,Internet Realty/Florida Keys Inc.,Real Estate,DJI Phantom 2 Vision Plus,Florida,Aerial videography and cinematography.
6/30/2015,J. Michael Tate dba AirVue,Real Estate,DJI Inspire 1,Georgia,Aerial video of selected marketed real estate in order to safely provide interested parties additional information about a selected property here-to-for unattainable before purchase
4/16/2015,Jackson Family Wines,Other-Security,AirCover QR−425,California,Surveillance over private property.
6/2/2015,Jaime Melgar,Photo/Film,DJI Phantom,Florida,Aerial videography and cinematography.
6/9/2015,"James Baldwin, Jr. dba SkyVideoCT","Photo/Film, Real Estate",DJI Inspire 1,Connecticut,"Aerial videography and or photography for real estate, marketing, surveying, industrial, and special events."
6/5/2015,James Hamlin,Photo/Film/Other,"DJI S1000, DJI Phantom 2",Georgia,"Search and rescue operations, aerial photography, videography, cinematography including motion picture and closed set television production."
6/29/2015,James Michael Hourihan,Emergency Services,"DJI Phantom 2 Vision, DJI Phantom 3, DJI S1000",Massachusetts,"EMS/fire emergency support, police operation support and missing persons support."
6/5/2015,Jason Sanko,Real Estate,DJI Phantom 2 Vision+,North Carolina,"Aerial photography, videography, and cinematography to enhance real estate listings."
5/4/2015,"Jason Youn Photography, LLC",Photo/Film,"DJI Phantom Vision 2 Plus+, DJI S900, DJI Inspire 1",Arizona,"Aerial videography and cinematography, mapping, and enhance academic community awareness."
4/21/2015,"JB Aerial, LLC",Utilities/Energy/Infrastructure,"DJI Phantom 2, DJI S-900",Florida,"Elevated photographic and remote sensing operations for businessed looking to improve reliability and power delivery with their awareness of structures on their respective properties through data collection by photographic, video graphic based inspections."
5/5/2015,Jeff Skelley Studio,Photo/Film,DJI Inspire 1,Arizona,"Aerial photography, videography and data collection."
5/14/2015,Jeffrey D. Greer,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",Georgia,Aerial videography and cinematography.
4/17/2015,Jeffrey Galindo,"Education, Photo/Film",DJI PHANTOM 2 VISION +,Nevada,"Aerial videography/cinematography to enhance academic community awareness for those individuals/entities and companies unfamiliar with the geographical layout of the greater Las Vegas, NV, metropolitan area and to augment real estate research analysis and for-sale listing photographs and videos."
4/24/2015,Jeffrey Hug dba jeffhug360,Photo/Film,Phantom 2 Vision +,Nebraska,"Business photography, providing panoramic ‰ÛÏbusiness view‰Û services to businesses and panoramic or single photographs or videos."
3/24/2015,Jeffrey J. Walsh,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation","ALIGN TREX 500E, RITEWING Z3 Spade 47”, RITEWING Z4 Spade 52”, RITEWING Z3 Spade 70",Minnesota,"Aerial acquisition and research in support of Government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, and forestry."
6/30/2015,Jerry Brandau,"Photo/Film, Agriculture, Real Estate",DJI Phantom Vision+,Iowa,"Aerial photography, agriculture field inspection, and aerial property monitoring."
5/11/2015,"Jim Starwalt (Star Home Finders, Ltd)",Real Estate,DJI Phantom 2,Illinois,Aerial imaging and videography of communities and homes the petitioner list for sale.
6/16/2015,Jimmy W. Dean,"Construction, Real Estate",DJI Phantom 2 Vision+,Indiana,"Aerial video and photography of construction sites, real estate, and landscaping."
6/5/2015,John F. McCreary,"Photo/Film, Construction, Real Estate",DJI Phantom 2 Vision+,Illinois,"Aerial video and photography of construction sites, real estate, and landscape."
5/15/2015,John Keller,"Photo/Film, Utilities/Energy/Infrastructure, Real Estate",DJI Phantom 2 Vision+,North Carolina,"Aerial photography, structural inspections of bridges, pipelines, well and cell towers, real estate marketing, and surveys."
6/23/2015,"John R Jurgensen, Company",Utilities/Energy/Infrastructure,Event38 E384,Ohio,Aerial imagery operations to create 3D information and orthographic photos for quarry sites.
5/22/2015,John Sherman dba Mad Hornet Aerial Photography,Photo/Film,"Walkera Scout X4, DJI Inspire",Texas,Aerial photography and videography.
5/19/2015,Jonathan Harris,"Photo/Film, Real Estate",DJI Phantom,California,Aerial videography and cinematography to enhance real estate listings.
6/23/2015,Jonathan William Held,Photo/Film,P2 Multirotor,California,Aerial photography and videography.
6/16/2015,Joseph D. Renda,Real Estate,DJI Phantom 2 Vision+,Florida,Aerial photography and videography for real estate
5/11/2015,Joshua A. Strunk,"Real Estate, Research",DJI Phantom 2 Vision+,Connecticut,Aerial photography and cinematography to perform geographic studies and to augment real estate listings.
6/26/2015,JS Photography,"Photo/Film, Real Estate, Construction, Education",DJI Phantom 3 Professional,New Hampshire,"Aerial surveying of structures, event photography, real estate photography, aerial filmmaking and photography, construction site inspections and monitoring, and educational purposes."
4/22/2015,Just 1 UAV,Education,DJI Phantom 2 Vision+,Arizona,A UAS Flight Instruction Program to introduce students to the elements of UAS operation from a commercial and noncommercial perspective and how these operations must fit into the National Airspace System.
6/23/2015,KalScott Engineering,Government Contracting,"DJI Phantom, DJI S900, DJI S1000",Kansas,Test flights in support of current NASA contracts NNX14CA35P and NNX14CA07C.
5/28/2015,Keegan Kliman,Photo/Film,DJI Phantom 2,California,Aerial videography and cinematography.
6/16/2015,"KellAir Aerial Solutions, LLC","Real Estate, Agriculture, Construction","DJI Phantom 2, DJI Phantom 2 Vision+ v3, DJI Phantom 3",Florida,"Commercial and private real estate video and photography, mapping and land surveying, construction, forestry, and agriculture inspection."
5/22/2015,Kevin M. Kralicek,Photo/Film,Tarot 650,Texas,Aerial photography and videography.
5/1/2015,"Keystone Aerial Surveys, Inc.","Utilities/Energy/Infrastructure, Government Contracting, Emergency Services",Altavian Nova F6500,Pennsylvania,"Mapping ‰ÛÒ High resolution imagery will be used for small area mapping in situations where UAS acquisition is safer, more cost effective or faster than manned aircraft (as in disaster response/assessment, etc.); Government Agencies ‰ÛÒ Federal, State and Local; Engineering ‰ÛÒ Mining, waste disposal, pipelines, etc; Insurance ‰ÛÒ Claim assessment; Geographic Information Systems ‰ÛÒ Populating data for analysis, including precision agriculture; solar panel installation, maintenance and assessment; wireless installation and maintenance."
6/26/2015,Kovar & Associates LLC,"Agriculture, Government Contracting, Emergency Services, Education","DJI Phantom 2 Vision+, Event38 E384, PrecisionHawk Landcaster",--,"Precision farming and other agriculture applications; asset management for utilities, government agencies, and private firms; construction and land management; disaster response and search and rescue; and conducting research flights to collect data and establish and refine forensic processes, procedures, and tools for investigation of accidents and crimes."
6/12/2015,Kyle Norton,Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3",Connecticut,Aerial video and photography of real estate and landscape.
5/11/2015,"Lamac Engineering Company, Inc.",Construction,SenseFly eBee,Illinois,Mapping and survey applications.
5/22/2015,"LandBros Aerial Photography, LLC",Photo/Film,DJI Phantom 2,Louisiana,Aerial photography of industrial and commercial facilities.
4/22/2015,"Launchit Technologies, LLC",Utilities/Energy/Infrastructure,Air Rover AR–300,New Jersey,"Aerial imaging of structures, equipment condition, safety and monitoring of telecommunication/cellular towers."
5/14/2015,Lawrence Puchalski,"Utilities/Energy/Infrastructure, Real Estate, Photo/Film",Phantom 2 Vision+,Pennsylvania,"Aerial photography, structural inspections of bridges, pipelines, well and cell towers, real estate marketing and surveys and other flight operations."
5/11/2015,Lawrence Puchalski,Real Estate,DJI Phantom 2 Vision+,Pennsylvania,"Aerial photography, inspections, real estate marketing, and surveys."
6/9/2015,"Laymon International, LLC","Utilities/Energy/Infrastructure, Photo/Film",DJI Inspire 1,California,"Aerial data collection, photogrammetry of mining operations and real properties, and video documentation of exploratory expeditions."
5/11/2015,"Leading Edge Associates, Inc.","Agriculture, Scientific Studies, Government Contracting",Leading Edge PrecisionVision 10,North Carolina,"Conduct aerial acquisitions and research in support of government entities, agriculture, and scientific studies."
6/12/2015,Leading Edge Technologies,Agriculture,SenseFly eBee,Minnesota,Precision agriculture.
6/16/2015,"LEDIC Management Group, LLC",Real Estate,DJI Inspire 1,Tennessee,Aerial real estate video and photography.
6/9/2015,Legend Creative Group,"Photo/Film, Real Estate, Construction, Conservation, Utilities/Energy/Infrastructure",DJI Inspire 1,Illinois,"Aerial photography and video for real estate, architecture, land surveying, engineering, television and cinematography; aerial inspection of residential and commercial structures and infrastructure; search and rescue operations; and training."
5/14/2015,Lewanui,Emergency Services,"DJI Phantom 2, DJI Inspire 1",Hawaii,"Aerial survey, aerial photography and film and to assist search and rescue operations in remote areas."
6/5/2015,Lewis Enterprises,Agricultue,"DJI Phantom 2, DJI Phantom 2 Vision +",Minnesota,Precision photography for community and agriculture applications.
6/19/2015,"Liberty Mutual Incurance Company, LLC",Insurance,"Liberty 1, Liberty 2, Liberty 3, Liberty 4",Massachusetts,"Aerial photography for home and business roof inspection, and large structure/fire site inspection."
5/11/2015,Littlebirds VIEW,Photo/Film,"Littlebirds VIEW X−10, DJI Inspire 1",North Carolina,"Aerial acquisitions of imagery in support of construction progress, production, and forestry survey"
5/22/2015,Lloyd & Associates,"Real Estate, Construction",DJI Phantom 2,California,"Aerial imaging for safety, monitoring, inspecting and/or recording of secured and controlled environment construction sites, proposed development sites, inspections of property, and photography for realty advertisements."
2/23/2015,"LowCountryRC, corporation",Emergency Services,LOCORC UAS,Georgia,"Research and development of economic platforms for aerial survey, law enforcement, first responders, search and rescue."
5/13/2015,Luxury Aerial Shots LLC,Real Estate,DJI Flamewheel F550,Florida,Aerial photography of real estate and other possible flight operations.
6/30/2015,Lyft Aerial,"Education, Real Estate, Photo/Film","DJI Phantom Inspire 1, DJI S1000",Texas,"Education, real estate photography and videography, film and movie production, and demonstration flights, as well as provide services to clients using a small advanced sUAV in the following areas: real estate, marketing, surveying, industrial, and special events."
4/16/2015,M-Kopter Aerials,"Real Estate, Photo/Film",DJI Inspire 1,South Dakota,Aerial videography for geographical awareness/mapping and real estate marketing.
4/8/2015,M&G Enterprises,"Utilities/Energy/Infrastructure, Agriculture",DJI Phantom 2,Tennessee,"Video filming and photography; inspection of land, residential, commercial and industrial structures and property; training."
5/11/2015,"M2 Flight Solutions, LLC",Utilities/Energy/Infrastructure,Skywalker Aero,Alaska,Aerial photogrammetry for the purpose of 3d reconstructions.
5/28/2015,"M3 Partners, LLC",Photo/Film,DJI Phantom 2 Vision+,South Carolina,"Aerial photography, videography, and surveying"
5/5/2015,Maine HDTV,Real Estate,DJI Phantom 2 Vision+,Maine,Residential and commercial aerial photography.
4/27/2015,Marcus D. Melhus,Photo/Film,DJI Phantom 2 Vision+,Illinois,"Aerial photography, cinematography, and videography. To provide clients with photographic data for aerial surveying and inspections to increase work site efficiency, improve volumetric estimations and reduce risks."
4/3/2015,"Marek Management, Inc.",Utilities/Energy/Infrastructure,SkyWard 1,Florida,"Mapping services and sensor deployment for the mining, agriculture, and mineral exploration industries."
6/30/2015,Mario F. Fabrizio,DJI Phantom 2 Vision Plus,DJI Phantom 2 Vision+,Minnesota,"Aerial photography, cinematography, and videography."
6/18/2015,Mark Ingle,"Emergency Services, Photo/Film",Tarot 650M,South Carolina,"Aerial imaging, video, and surveillance for survey analysis, safety and/or damage inspection, aerial photography, as well as search and rescue. Search and rescue services will be offered to the South Carolina Search and Rescue Dog Association at no charge."
4/17/2015,Mark Sobczyk,Real Estate,DJI Phantom 2,California,Aerial imaging and video of Louisville landmarks and homes for sale.
5/13/2015,Mark Wages,Real Estate,DJI Phantom Vision 2+,North Carolina,Aerial videography and cinematography.
6/2/2015,"MC Consultants, Inc.",Construction,"DJI Phantom 2 Vision+, DJI Inspire 1",California,Aerial inspections and surveys of structures and facilities as part of exterior building evaluations.
6/26/2015,McKim & Creed Inc,"Utilities/Energy/Infrastructure, Construction","3D Robotics Aero-M, Steadi Drone Mavrik, DJI S900",North Carolina,"Provide professional geospatial services to clients associated with land use planning, mining, utilities to conduct inventories, mapping and inspection services, environmental planning and other geomatics applications."
6/17/2015,"McMahon Helicopter Services, Inc.","Photo/Film, Real Estate, Utilities/Energy/Infrastructure","DJI Phantom 2, DJI Inspire 1",Michigan,"Aerial work for in the energy, motion picture/television, and realestate industries. Aerial data collection, closed-set motion pitcture and television filming. (Amended 6/24/15)"
6/16/2015,MCS Communications,Real Estate,DJI Phantom 2,Pennsylvania,"Operations for viewing private properties for sales, evaluations, mortgage applications, maintenance, and related business intentions."
5/11/2015,Melissa Maxwell,"Real Estate, Photo/Film", DJI Phantom 2 Vision+,Kentucky,"Aerial videography, cinematography, and photography to enhance academic community awareness and to augment real estate listings."
5/21/2015,Michael A. Lee,"Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire 1",Louisiana,"Aerial video and photography of construction sites, real estate, and landscape."
5/29/2015,"Michael Baker International, LLC","Photo/Film, Construction","Precision Hawk Lancaster III, DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1",Pennsylvania,Aerial photography for aerial mapping (photogrammetry) and video documentation.
6/25/2015,Michael Bethers,Real Estate,DJI Inspire 1,Oregon,Aerial photography and videography for real estate
5/5/2015,Michael Carey Goudeau,Photo/Film,DJI Phantom 2 Vision+,Nevada,Aerial videography and cinematography.
6/23/2015,Michael R. Foytho,Photo/Film,DJI Phantom Vision+,South Carolina,"Aerial video and photography over certain areas of the United States, providing high quality imaging for a variety of commercial, public, and residential uses."
6/26/2015,Michael Todd Hacker,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",Virginia,"Aerial photography, videography, and cinematography."
5/5/2015,"Michael‰Ûªs Drone Photography, L.L.C",Photo/Film,DJI Phantom 1,Arizona,Aerial photography and videography.
4/9/2015,Micro Drone Vision,"Photo/Film, Education, Agriculture, Real Estate","DJI Phantom 1, the DJI Phantom 2, 550S Flame Wheels, DJI Inspire 1, DJI S10001, 3D Robotics Iris+, Apprentice, Penguin B.",Florida,"Flight training, agriculture, education, real estate photography, and videography, film and movie production, and demonstration flights. (Amended 5/7/15)"
3/24/2015,"MicroCopter Professional Services, Inc.",Photo/Film,"Tarot T-15 (octocopter), Tarot 960, Tarot 690 (hexacopters)",--,Aerial filming and inspections.
6/5/2015,Mid-Michigan Helicopters,"Real Estate, Agriculture",DJI Phantom 2 Vision+,Michigan,"Aerial data capture for real estate, surveying, and precision agriculture."
5/15/2015,"Midstream Integrity Services, LLC",Utilities/Energy/Infrastructure,DJI S900,Texas,"Inspections of vertically developed structures, pipelines, right of ways, and hydrocarbon gas leaks."
5/14/2015,"Midstream Integrity Services, LLC",Utilities/Energy/Infrastructure,"DJI Phantom 2, S1000, S900, MU−1H",Texas,"Inspections of vertically developed structures, pipelines, right of ways, and provide cost effective aerial imagery services while also inspecting for hydrocarbon gas leaks"
5/26/2015,Midwest UAV Imaging,Photo/Film,"DJI Phantom 2 Vision +, DJI Phantom 3, Yuneec Q500 Typhoon",Nebraska,"Commercial photography, videography, inspections or surveying."
3/20/2015,Mike Johnson,Construction,DJI Phantom 2 Vision+,Kentucky,Roof inspections.
6/1/2015,Mike Levin Photography and Digital Imaging,"Photo/Film, Real Estate, Construction","KongCopter X8, 3DRobotics IRIS+",Pennsylvania,"Aerial photography for real estate, architectural engineering, construction industry sites, and motion picture and television operations."
6/17/2015,Mile Sky Productions LLC,Real Estate,DJI Phantom 3,Colorado,"Aerial videography for producing marketing videos in the real estate, hotel and resort, and golf industries."
6/30/2015,Mission Geospatial Ltd,"Utilities/Energy/Infrastructure, Construction","Sensefly eBee, Sensefly eBee RTK, 3D Robotics X8-M",--,Aerial data collection.
6/26/2015,"MLT Video Productions, LLC","Photo/Film, Utilities/Energy/Infrastructure, Real Estate, Emergency Services",DJI Inspire 1,Minnesota,"Aerial photography, video capture for industrial or training video, inspections, real estate, and search and rescue."
5/22/2015,"Monarch, Inc.","Agriculture, Manufacturer",Monarch Ag,California,"Aerial survey of agriculture, aerial photogrammetry and Light Detection and Ranging (LIDAR) data collection."
6/23/2015,Montana Aerial Solutions,"Photo/Film, Agriculture, Real Estate",3DRobotics IRIS+,Montana,"Aerial data capture for surveying, agriculture, inspection, real estate, general photography, and special events."
4/3/2015,Monterey Drone,"Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",DJI Phantom 2,California,"Commercial application for produce field management, real estate and marketing purposes, electrical engineering inspections, and live sporting events."
3/24/2015,"Montico, Inc.",Utilities/Energy/Infrastructure,DJI Phantom 2 Vision+,California,Tower inspections and mapping operations to an existing tower structure.
5/26/2015,Moonlight Engineering,Photo/Film,DJI Inspire 1 Model T600,Massachusetts,Aerial photography and videography.
6/17/2015,"Motown Digital, LLC",Photo/Film,DJI Spreading Wings S900,Michigan,"Aerial photography and cinematography, primarily for use in the video production industry."
5/14/2015,"Mountain High Aviation, LLC","Agriculture, Utilities/Energy/Infrastructure, Photo/Film, Government Contracting, Construction","DJI S-1000, DJI Phantom 2, Riegl RiCopter, ARF-MikroKopter OktoXL",Oregon,"Aerial surveying, remote sensing, precision agriculture, aerial filmmaking and photography, public entity support operations, utility system inspections and patrolling, construction site inspection and monitoring, wildlife and forestry monitoring, educational and research operations, flare stack inspection, and pipeline inspection and patrolling."
5/5/2015,"Mowrey Seismic, Inc.",Utilities/Energy/Infrastructure,Sensefly eBee,Wyoming,Precision engineering and geophysical applications.
4/3/2015,"Mr. Roger W. Meyer, PLS","Agriculture, Government Contracting","SenseFly eBee, Trimble Navigation Limited UX5",Montana,"Land surveying operations enhance its existing surveying and mapping services, including but not limited to imaging for precision agriculture applications, digital terrain modeling, infrastructure reconnaissance and inventory with GIS applications for private, local, state and federal entities, riparian boundaries of state and federal owned lands associated with navigable rivers."
4/16/2015,MSPhotography dba MSAerial,Photo/Film,DJI S1000,Massachusetts,Aerial photography for the media and advertising industries.
4/27/2015,"MT Real Estate, LLC",Photo/Film,Yuneec Q500 Typhoon,Arizona,Aerial photography for the education of real estate professionals and real estate marketing purposes.
5/14/2015,Nantucket Aerial,Photo/Film,"DJI Phantom 2, DJI Phantom 2+",Massachusetts,Aerial still photography.
6/5/2015,"Narrate Studios, LLC",Photo/Film/Construction/Real Estate/Other,DJI Phantom 2 Vision+,Minnesota,"Aerial video and photography of construction sites, real estate, special events, film sets, and landscape."
4/17/2015,"Natalie Contracting, LLC","Photo/Film, Infrastructure",DJI Phantom 2,Illinois,"Aerial videography and cinematography, jobsite pre-construction video documentation, infrastructure and railroad inspection, and post-job as-built video documentation throughout Illinois and Indiana."
5/14/2015,"National UAS Solutions, LLC",Real Estate,DJI Phantom 2 Vision+,Louisiana,Commercial training of sUAS pilots and videography and photography of real estate property.
5/22/2015,"Navigator CS, LLC","Utilities/Energy/Infrastructure, Construction",DJI Inspire 1,Virginia,"Aerial imaging in support of engineering surveys of construction sites, existing buildings and facilities, and other sites, for the purpose of monitoring and ensuring site safety, proper material usage, quality of workmanship, and/or to inspect the integrity of buildings and/or structures, including bridges and dams."
4/17/2015,"New Heights Aerial Media, LLC","Photo/Film, Construction",Blade 350QX,Ohio,"Aerial surveying, event photography/videography, agriculture purposes, real estate photography, aerial filmmaking and photography, construction site inspections and monitoring."
5/13/2015,"New Story Media, LLC",Photo/Film,"DJI Phantom 2, DJI Inspire 1",Texas,"Aerial photography, videography, surveying and mapping."
4/9/2015,Next Generation Aviation Services LLC,"Real Estate, Construction, Education, Emergency Services","DJI S1000+, DJI Inspire 1 T600",New Jersey,"Research and development; training; aerial photography for real estate, construction firms; to assist first responders; and to enhance public awareness of UAS. (Amended 6/23/15)"
3/24/2015,"NextEra Energy, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision Plus, DJI Inspire I (T600), DJI S900",Florida,Inspections of energy infrastructure.
4/16/2015,Nick Patillo,Real Estate,DJI Phantom,Texas,Aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the East Texas area and augment real estate listing videos.
4/3/2015,"Nixon Engineering Solutions, LLC",Utilities/Energy/Infrastructure,DJI S800 EVO,Louisiana,"Aerial inspection and photogrammetry services for mining, gas and oil industry."
5/21/2015,"NOKA Ventures, LLC",Real Estate,DJI Phantom 2,Texas,Real estate photography and videography.
5/11/2015,North Coast Flight School Inc.,"Photo/Film, Education",DJI Inspire 1,Pennsylvania,"Aerial video, photography, and UAS training."
5/11/2015,Northport Solutions LLC,Photo/Film,DJI Phantom,Indiana,Aerial photography and videography.
3/20/2015,Notus Access Group,Utilities/Energy/Infrastructure,InstantEye Mk–2,Washington,Aerial inspections of wind turbine blades and towers.
3/24/2015,"Oceaneering International, Inc.",Utilities/Energy/Infrastructure,"Wookong DJI S800, Aeronavics X4 Titanium",Texas,Safety inspections and aerial surveying.
6/1/2015,"Offshore Aviation, LLC","Photo/Film, Real Estate, Construction, Education","Vulcan SkyHook Mantis, Vulcan Raven",Maryland,"Aerial filming production for real estate marketing, feature films, television commercials, documentaries, construction survey, 3‰ÛÒD mapping, and educational research and development.erial filming production for real estate marketing, feature films, television commercials, documentaries, construction survey, 3‰ÛÒD mapping, and educational research and development."
5/21/2015,Olsson Associates,Utilities/Energy/Infrastructure,"Draganfly Innovations X4-ES, Draganflyer, 3D Robotics Aero-M, 3D Robotics X8+",Colorado,"Aerial inspection, documentation, survey, mapping, photography, videography and data collection for public and private infrastructure projects."
5/26/2015,"OpenSky Drones, LLC (I)",Research,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,"Aerial view, video recording, signal analysis, laser measurement and concentration measurements."
5/26/2015,"OpenSky Drones, LLC (II)",Photo/Film,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,Motion picture and television operations.
5/26/2015,"OpenSky Drones, LLC (III)",Utilities/Energy/Infrastructure,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,Operations for cellular towers and signal analysis in the telecommunication industry.
5/26/2015,"OpenSky Drones, LLC (IV)",Agriculture,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,Agricultural operations.
5/26/2015,"OpenSky Drones, LLC (V)",Utilities/Energy/Infrastructure,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,Inspections and analysis in the electrical power suppy and distribution industry.
5/26/2015,"OpenSky Drones, LLC (VI)",Insurance,"DJI S1000, DJI Inspire, DJI 450 Flame Wheel, DJI 550 Flame Wheel",Florida,Analysis and inspection in the insurance industry.
6/16/2015,"Orbic Air, LLC",Photo/Film,"DJI S1000, DJI S900, DJI Phantom 2, DJI Phantom 3, Freefly Cinestar 8, DJI Inspire 1",California,Aircraft operations in the film and television industry.
6/29/2015,Orlando Aviation Consultants,Photo/Film,DJI Phantom 3,Florida,Aerial video and photography.
4/21/2015,"Owlcam, LLC",Photo/Film,DJI Phantom 2,Hawaii,Aerial photography and videography for real estate in rural areas in rural areas in the state of Hawai‰Ûªi.
4/16/2015,"Pacific Aviation, LLC",Other-Security,frese,Oregon,Surveillance over private property. Still and video photography over the Jackson properties to provide birds-eye-view footage of what is occurring on the ground.
6/29/2015,Patricia A Lines and Associates Inc,Photo/Film,3DR Solo,Ohio,"Aerial filmmaking, photography, surveying, and inspections."
6/26/2015,Paul Seiden,Photo/Film,DJI Phantom 2,Illinois,"Aerial videography, photography, and inspection."
6/23/2015,Payson Associates,"Real Estate, Construction, Insurance",DJI Phantom 2 Vision+,--,"Aerial photography and videography for commercial and residential real estate, legal, construction, and insurance industries."
5/20/2015,"Pelican Drones, LLC",Real Estate,DJI Phantom 2 Vision+,Florida,Aerial photography and video primarily of real property.
